item,itemLabel,orcid
https://portal.mardi4nfdi.de/entity/Q59903,Charleen Gaunitz,0000-0003-3681-528X
https://portal.mardi4nfdi.de/entity/Q59903,Charleen Gaunitz,0000-0003-3681-528X
https://portal.mardi4nfdi.de/entity/Q59904,Fabrice Demeter,0000-0002-1288-5534
https://portal.mardi4nfdi.de/entity/Q59905,Marie Louise S. Jørkov,0000-0002-5283-4328
https://portal.mardi4nfdi.de/entity/Q59908,Lutz Klassen,0000-0002-2378-8684
https://portal.mardi4nfdi.de/entity/Q59911,Lasse Vinner,0000-0002-3081-3702
https://portal.mardi4nfdi.de/entity/Q59914,Thorfinn Korneliussen,0000-0001-7576-5380
https://portal.mardi4nfdi.de/entity/Q59914,Thorfinn Korneliussen,0000-0001-7576-5380
https://portal.mardi4nfdi.de/entity/Q59918,Martin Sikora,0000-0003-2818-8319
https://portal.mardi4nfdi.de/entity/Q59918,Martin Sikora,0000-0003-2818-8319
https://portal.mardi4nfdi.de/entity/Q59919,Kristian Kristiansen,0000-0003-2423-308X
https://portal.mardi4nfdi.de/entity/Q59931,Wendy S. W. Wong,0000-0001-9850-3797
https://portal.mardi4nfdi.de/entity/Q59946,Lars Fugger,0000-0003-2883-3226
https://portal.mardi4nfdi.de/entity/Q59946,Lars Fugger,0000-0003-2883-3226
https://portal.mardi4nfdi.de/entity/Q59965,Eske Willerslev,0000-0002-7081-6748
https://portal.mardi4nfdi.de/entity/Q59965,Eske Willerslev,0000-0002-7081-6748
https://portal.mardi4nfdi.de/entity/Q59969,Isabella Deutsch,0000-0001-8936-4465
https://portal.mardi4nfdi.de/entity/Q59979,Timothée Giraud,0000-0002-1932-3323
https://portal.mardi4nfdi.de/entity/Q60000,Alexey Seleznev,0000-0003-0410-7385
https://portal.mardi4nfdi.de/entity/Q60008,Steve Vissault,0000-0002-0866-4376
https://portal.mardi4nfdi.de/entity/Q60012,Kevin Cazelles,0000-0001-6619-9874
https://portal.mardi4nfdi.de/entity/Q60024,František Bartoš,0000-0002-0018-5573
