zbmath_id	author	author_ids	document_title	source	classifications	language	links	keywords	doi	publication_year	serial
oai:zbmath.org:5998073	Dlotko, Tomasz; Kania, Maria B.; Sun, Chunyou	dlotko.tomasz-w;kania.maria-b;sun.chunyou	Analysis of the viscous Cahn-Hilliard equation in \(\mathbb R^N\)	J. Differ. Equations 252, No. 3, 2771-2791 (2012).	35K30;35G25;35B40;35K58;35B45	English	None	\(H\)-solution;global existence;bounded absorbing set	10.1016/j.jde.2011.08.052	2012	Elsevier (Academic Press), San Diego, CA;Journal of Differential Equations
oai:zbmath.org:5998074	Il'yasov, Yavdat Sh.; Takáč, Peter	ilyasov.yavdat-sh;takac.peter	Optimal \(W^{2,2}_{\text{loc}}\)-regularity, Pohozhaev's identity, and nonexistence of weak solutions to some quasilinear elliptic equations	J. Differ. Equations 252, No. 3, 2792-2822 (2012).	35J62;35J20;35B65;35J70;35J25;35J75;35B30	English	None	degenerate or singular elliptic problem;optimal regularity;Pohozhaev's identity;nonexistence of phase transition solutions	10.1016/j.jde.2011.10.020	2012	Elsevier (Academic Press), San Diego, CA;Journal of Differential Equations
oai:zbmath.org:5998075	Iantchenko, Alexei; Korotyaev, Evgeny	iantchenko.alexei;korotyaev.evgeny-l	Periodic Jacobi operator with finitely supported perturbations: the inverse resonance problem	J. Differ. Equations 252, No. 3, 2823-2844 (2012).	47B36;47A55;34L25	English	https://arxiv.org/abs/1105.3397	resonance;inverse scattering;periodic Jacobi operators;Jost function;quasi-momentum map	10.1016/j.jde.2011.09.034	2012	Elsevier (Academic Press), San Diego, CA;Journal of Differential Equations
oai:zbmath.org:5998076	Christoforou, Cleopatra	christoforou.cleopatra-c	BV weak solutions to Gauss-Codazzi system for isometric immersions	J. Differ. Equations 252, No. 3, 2845-2863 (2012).	53C42;53C21;53C45;58J32;35L65;35M10;35L45;76H05;76N10	English	None	isometric immersion problem;Gauss curvature;first and second fundamental forms;systems of balance laws;bounded variation;random choice method	10.1016/j.jde.2011.08.046	2012	Elsevier (Academic Press), San Diego, CA;Journal of Differential Equations
oai:zbmath.org:5998077	Pallard, Christophe	pallard.christophe	Large velocities in a collisionless plasma	J. Differ. Equations 252, No. 3, 2864-2876 (2012).	35Q83;35B40;35B65	English	None	None	10.1016/j.jde.2011.09.020	2012	Elsevier (Academic Press), San Diego, CA;Journal of Differential Equations
oai:zbmath.org:5998078	Chen, Xingwu; Zhang, Weinian	chen.xingwu;zhang.weinian	Isochronicity of centers in a switching Bautin system	J. Differ. Equations 252, No. 3, 2877-2899 (2012).	34C25;34C05;34A36	English	None	None	10.1016/j.jde.2011.10.013	2012	Elsevier (Academic Press), San Diego, CA;Journal of Differential Equations
oai:zbmath.org:5998079	Boscaggin, Alberto; Zanolin, Fabio	boscaggin.alberto;zanolin.fabio	Pairs of positive periodic solutions of second order nonlinear equations with indefinite weight	J. Differ. Equations 252, No. 3, 2900-2921 (2012).	34C25;34B15;47J30;58E05;34B18	English	None	Periodic solutions;Necessary conditions;Critical points;Pairs of positive solutions	10.1016/j.jde.2011.09.011	2012	Elsevier (Academic Press), San Diego, CA;Journal of Differential Equations
oai:zbmath.org:5998080	Boscaggin, Alberto; Zanolin, Fabio	boscaggin.alberto;zanolin.fabio	Positive periodic solutions of second order nonlinear equations with indefinite weight: multiplicity results and complex dynamics	J. Differ. Equations 252, No. 3, 2922-2950 (2012).	34C25;34B15;34C28	English	None	positive periodic solutions;Poincaré map;subharmonics;complex dynamics	10.1016/j.jde.2011.09.010	2012	Elsevier (Academic Press), San Diego, CA;Journal of Differential Equations
oai:zbmath.org:5998081	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	azarina.svetlana-v;gliklikh.yuri-e	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	34A60;60J60;60J65;91B70;91B25	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	None	differential inclusions;diffusion processes;Brownian motion	None	2009	zbMATH Open Web Interface contents unavailable due to conflicting licenses.;zbMATH Open Web Interface contents unavailable due to conflicting licenses.
oai:zbmath.org:5998082	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	gliklikh.n-yu	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	54C60;54C08	zbMATH Open Web Interface contents unavailable due to conflicting licenses.	None	multi-valued mappings;Hausdorff \(w\)-continuity	None	2009	zbMATH Open Web Interface contents unavailable due to conflicting licenses.;zbMATH Open Web Interface contents unavailable due to conflicting licenses.
